valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
606900;Viva próximo de tudo o que você deseja, na melhor localização de Águas Claras. Apartamentos 2 quartos com plantas personalizadas e mais de 1300m² lazer.   A poucos metros da saída...;Rua 3; Norte;2;1;2;65;0;0;Na planta;0;0;0;1;0;0
1400000;Viva próximo de tudo o que você deseja, na melhor localização de Águas Claras. Apartamentos 3 quartos com plantas personalizadas e mais de 1300m² lazer.   A poucos metros da saída...;Rua 3; Norte;3;1;2;83;0;0;Na planta;0;0;0;1;0;0
0;O Reserva Parque Clube é assim: a combinação perfeita entre vida urbana, natureza e diversão em um único empreendimento. Além de todos os seus atributos, este empreendimento está l...;EQS 414/415; Asa Sul;[2, 3];0;1;67;0;0;Em construção;0;0;0;0;0;0
170000;Apartamento de um quarto, banheiro social, sala, cozinha, área de serviço e garagem para dois veículos. 4° andar.  O imóvel está localizado na Colônia Agrícola Bernardo Sayão Cháca...;Guara II; Brasília;1;0;1;50;0;0;Super destaque;0;0;0;0;0;0
155000;ALEX GAMA VENDE: QUADRA INDUSTRIAL LESTE   QI 04, PRÓXIMO À COMANDO AUTO PEÇAS E PADARIA SAYONARA, PRÓXIMO AOS CONDOMÍNIOS GAMAGGIORE, VILLAGE, ENCANTO, etc, SETOR LESTE INDUSTRIAL...;Quadra 4; Setor Industrial;1;1;1;33;0;120;Super destaque;0;0;0;0;0;0
490000;Excelente Apartamento Super Reformado vazado !   03 Quartos sendo 02 com armarios, janelas c blindex vista livre  01 Sala ampla jamelas com blindex vista livre  01 Copa  01 Banheir...;SHCES Quadra 801 Bloco A; Cruzeiro Novo;3;1;1;63;0;350;Super destaque;0;0;0;0;0;0
185000;Ótimo custo benefício para quem procura imóvel em uma excelente localização, com uma planta bem funcional e ambientes espaçosos, apartamento simples, porém bem conservado, piso rev...;QNM 12; Ceilandia Norte;2;1;1;65;400;380;Nenhuma;0;0;0;0;0;0
305000;Whats não é ágio.   O apartamento no bairro Samambaia Sul possui 59 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro. Possui área de fitness, espaço gourmet, jardim, parqu...;QS 501 Conjunto 1; Samambaia Sul;2;1;1;59;350;400;Nenhuma;1;0;0;1;0;0
199680;TOTAL VILLE IKEDA | DIRECIONAL Engenharia  Onde fica: Rua 01, Lote 02 – Setor Ikeda – entrada pela BR 070 RA XXXII   Ceilândia (DF). Previsão de entrega: dezembro de 2025 Área tota...;QNR 5 Conjunto O; Ceilandia Norte;2;1;2;45;0;0;Nenhuma;0;0;0;0;0;0
1100000;CONQUISTE SEU IMÓVEL NO BAIRRO MAIS DESEJADO DE BRASÍLIA, COM O PADRÃO DE QUALIDADE FAENGE!  O Noroeste é o bairro mais moderno de Brasília, já é conhecido como o bairro “Alto Padr...;SQNW 306 Bloco C; Setor Noroeste;2;1;2;67;0;0;Destaque;0;0;0;0;0;0
210000;Residencial Plaza Del Sol Ceilândia Sul Apartamento 2 Quartos    2 Quartos, sendo uma semi suíte   Sala   Banheiro social   Cozinha   Área de serviço   Condomínio incluso Água e Gá...;QNN 38 Bloco 1; Ceilandia Sul;2;1;1;44;0;0;Destaque;1;0;0;0;0;0
