valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
5999;O lançamento mais esperado!!  * CONDOMÍNIO BORA PESCAR*  CORUMBÁ IV  LOTE NA BEIRA DO LAGO  Contato&Whatsapp: (61) 9.9.6.7.1 5.0.0.5  Localizado no Município de Alexânia GO  LOTES...;SMDB Conjunto 7; Setor de Mansoes Dom Bosco;1;0;1;1000;0;0;Nenhuma;0;0;0;0;0;0
279000;ÓTIMA CASA A VENDA COM 2 QTS, SALA, COZINHA, 2 BANHEIROS SOCIAL, ÁREA DE SERVIÇO, VARANDA, GARAGEM PARA VÁRIOS CARROS, NUM EXCELENTE LOTE DE 300M² COM CAESB,NEOENERGIA E IPTU.  NO...;SHA Conjunto 5 Chácara 116; Setor Habitacional Arniqueira;2;4;2;300;500;150;Nenhuma;0;0;1;0;0;0
327000;DESCRIÇÃO DO LOTE: A casa da frente possui dois quartos, sala, cozinha, banheiro social, área de serviço com duas vagas na garagem.  Já a casa dos fundos possui um quarto, sala, co...;QNM 5 Conjunto F; Ceilandia Sul;2;2;2;180;0;0;Nenhuma;0;0;0;0;0;0
315000;Excelente oportunidade!! Vendo um dos melhores sobrados do jardim roriz. O imóvel se encontra na quadra 3 do roriz e é composto por 4 quartos, 2 salas de estar, cozinha, 2 banheiro...;Quadra 3; Jardim Roriz;4;2;2;128;0;0;Nenhuma;0;0;0;0;0;0
1100000;O lote/terreno no bairro Setor Habitacional Vicente Pires possui 1015 metros quadrados;Rua 10 Chácara 154/1; Setor Habitacional Vicente Pires;1;0;1;1015;0;0;Nenhuma;0;0;0;1;0;0
85000;Vendo imóvel ao lado da passarela, na entrada do recanto das emas, abaixo da quadra 101 na avenida vargem da benção imóvel inacabado!  Lote com 120 metros quadrados!!  Imóvel com s...;Quadra 802; Recanto das Emas;2;2;1;120;0;0;Nenhuma;0;0;0;1;0;0
150000;Imóvel composto com duas residências no lote sendo a primeira casa composta de 2 quartos, sala, cozinha e banheiro. E a dos fundos um akit de 1 quarto, sala,cozinha e banheiro 150...;QS 12 Conjunto 2; Riacho Fundo II;3;0;2;160;0;0;Nenhuma;0;0;0;0;0;0
64999;...........VENDO ÁGIO.........  Excelente apartamento Itapoã parque: ✅2 quartos, sala, cozinha, banheiro,  ✅vaga de garagem ✅portão eletrônico ✅porteiro 24 horas ✅cerca elétrica ✅...;Itapoa Parque; Brasília;2;1;1;55;0;0;Nenhuma;0;0;0;0;0;0
200000;Casa escriturada em Samambaia Sul Qr 125 Casa térrea com área útil de 126 mt²: Sendo 4 Quartos um deles é Suíte Sala, Cozinha , Banheiro Social Área de serviço Coberta, Vagas Para...;QR 125 Conjunto 3; Samambaia Sul;4;3;2;126;0;0;Nenhuma;1;0;0;0;0;0
220000;Excelente Casa 3 quartos na Ceilândia P Norte   3 quartos   2 vagas de garagem    Sala   Cozinha   Banheiro Social    Área de serviço    Um barraco nos fundos de 1 quarto, sala, co...;QNP 15; Ceilandia Norte;3;2;1;120;0;0;Destaque;0;0;0;0;0;0
385005;ARNIQUEIRA Lote top 400m2, condm. só casas tops, ( QUEM VÊ COMPRA)  MEGA HIPER SUPER OPORTUNIDADE!!!!!!  ARNIQUEIRA: Lote top plano, semi murado 400M2, Exc.localiz. CONDM.A 1KM DIS...;SHA Conjunto 5; Setor Habitacional Arniqueira;1;0;1;400;0;150;Nenhuma;0;0;0;0;0;0
155000;"Edifício Ouro Verde   Apartamento 1 Quarto   Riacho Fundo I.  Especificações do Apartamento: Área útil de 31 m² com: 1 quarto; sendo uma suíte, Sala, Cozinha; com armários, área de...";QN 5; Riacho Fundo I;1;1;1;31;0;0;Nenhuma;1;0;0;0;0;0
250000;Apartamento à Venda, 77m² por R$ 250.000. colônia agrícola samambaia   Brasília/DF   Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a RIWER Soluç...;QN 1; Riacho Fundo I;2;1;1;77;0;200;Super destaque;0;0;0;0;0;0
210000;A fenix imoveis disponibiliza: Casa ( fundos ): sala, 3 quartos, 2 banheiros e cozinha. Casa (lateral): 1 cômodo c/ banheiro.  tel/wpp: ou   Agindo Deus, quem imperá?  ...;Quadra 30 Conjunto A; Paranoá;3;0;2;120;0;0;Nenhuma;0;0;0;0;0;0
