valor,quartos,garagem,banheiro,area,suite,academia,varanda,transporte,salao,planejado,latitude,longitude
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1890000,5,4,5,700,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1890000,5,4,5,700,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
800000,6,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
750000,4,2,4,318,0,0,0,0,0,0,-15.84717425,-47.914692842906135
1150000,1,0,4,450,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
470000,5,4,4,300,0,0,0,0,0,0,-15.84717425,-47.914692842906135
380000,4,4,3,700,0,0,0,1,0,0,-15.84717425,-47.914692842906135
380000,4,4,3,700,0,0,0,1,0,0,-15.84717425,-47.914692842906135
380000,4,4,3,700,0,0,0,1,0,0,-15.84717425,-47.914692842906135
380000,4,4,3,700,0,0,0,1,0,0,-15.84717425,-47.914692842906135
85000,1,0,1,140,0,0,0,1,0,0,-15.84717425,-47.914692842906135
85000,1,0,1,140,0,0,0,1,0,0,-15.84717425,-47.914692842906135
85000,1,0,1,140,0,0,0,1,0,0,-15.84717425,-47.914692842906135
85000,1,0,1,140,0,0,0,1,0,0,-15.84717425,-47.914692842906135
85000,1,0,1,140,0,0,0,1,0,0,-15.84717425,-47.914692842906135
550000,4,3,1,400,0,0,1,0,0,0,-15.84717425,-47.914692842906135
550000,4,3,1,400,0,0,1,0,0,0,-15.84717425,-47.914692842906135
450000,3,3,2,280,0,0,0,0,0,0,-15.84717425,-47.914692842906135
450000,3,3,2,280,0,0,0,0,0,0,-15.84717425,-47.914692842906135
550000,5,10,6,300,1,0,0,1,0,0,-15.84717425,-47.914692842906135
550000,5,10,6,300,1,0,0,1,0,0,-15.84717425,-47.914692842906135
160000,1,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
105000,2,2,2,150,0,0,0,0,0,0,-15.9025481,-48.0607778
160000,1,4,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
105000,2,2,2,150,0,0,0,0,0,0,-15.9025481,-48.0607778
70000,1,7,1,260,0,0,0,0,0,0,-15.9025481,-48.0607778
280000,4,6,3,200,0,0,0,0,0,0,-15.9025481,-48.0607778
349994,3,4,4,200,1,0,0,0,0,0,-15.9025481,-48.0607778
269000,4,2,2,220,0,0,0,0,0,0,-15.9025481,-48.0607778
170000,3,4,1,90,0,0,0,0,0,0,-15.9025481,-48.0607778
70000,1,7,1,260,0,0,0,0,0,0,-15.9025481,-48.0607778
280000,4,6,3,200,0,0,0,0,0,0,-15.9025481,-48.0607778
349994,3,4,4,200,1,0,0,0,0,0,-15.9025481,-48.0607778
269000,4,2,2,220,0,0,0,0,0,0,-15.9025481,-48.0607778
170000,3,4,1,90,0,0,0,0,0,0,-15.9025481,-48.0607778
65000,1,0,1,115,0,0,0,0,0,0,-15.9025481,-48.0607778
385000,3,2,1,70,1,0,0,0,0,0,-15.9025481,-48.0607778
299000,2,5,2,100,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,5,1,3,112,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
65000,1,0,1,115,0,0,0,0,0,0,-15.9025481,-48.0607778
385000,3,2,1,70,1,0,0,0,0,0,-15.9025481,-48.0607778
299000,2,5,2,100,1,0,0,0,0,0,-15.9025481,-48.0607778
250000,5,1,3,112,0,0,0,0,0,0,-15.9025481,-48.0607778
245000,2,2,1,70,0,0,0,0,0,0,-15.9025481,-48.0607778
515000,6,3,6,150,1,0,0,1,0,0,-15.9025481,-48.0607778
550000,5,3,1,150,1,0,0,0,0,0,-15.9025481,-48.0607778
550000,5,3,7,390,1,0,0,0,0,0,-15.9025481,-48.0607778
320000,3,3,1,120,0,0,0,0,0,0,-15.9025481,-48.0607778
370000,3,3,1,150,0,1,0,0,0,0,-15.9025481,-48.0607778
240000,1,0,1,150,0,0,0,1,0,0,-15.9025481,-48.0607778
480000,4,2,3,150,1,0,0,0,0,0,-15.9025481,-48.0607778
190000,2,3,1,152,0,0,0,0,0,0,-15.9025481,-48.0607778
370000,3,3,1,150,0,1,0,0,0,0,-15.9025481,-48.0607778
240000,1,0,1,150,0,0,0,1,0,0,-15.9025481,-48.0607778
480000,4,2,3,150,1,0,0,0,0,0,-15.9025481,-48.0607778
190000,2,3,1,152,0,0,0,0,0,0,-15.9025481,-48.0607778
370000,3,3,1,150,0,1,0,0,0,0,-15.9025481,-48.0607778
240000,1,0,1,150,0,0,0,1,0,0,-15.9025481,-48.0607778
480000,4,2,3,150,1,0,0,0,0,0,-15.9025481,-48.0607778
190000,2,3,1,152,0,0,0,0,0,0,-15.9025481,-48.0607778
199900,1,2,1,110,0,0,0,0,0,0,-15.9025481,-48.0607778
360000,3,2,2,70,1,0,0,0,0,0,-15.9025481,-48.0607778
420000,5,2,2,185,1,0,0,0,0,0,-15.9025481,-48.0607778
410000,3,3,4,150,0,0,1,1,0,0,-15.9025481,-48.0607778
175000,3,2,1,150,0,0,0,0,0,0,-15.9025481,-48.0607778
250000,1,4,1,115,0,0,0,1,0,0,-15.9025481,-48.0607778
429510,4,3,3,250,0,0,0,0,0,0,-15.9025481,-48.0607778
429510,4,3,3,250,0,0,0,0,0,0,-15.9025481,-48.0607778
425000,8,5,10,300,0,0,0,1,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
100000,1,0,1,187,0,0,0,0,0,0,-15.9025481,-48.0607778
1200000,1,0,1,560,0,0,0,0,0,0,-15.9025481,-48.0607778
600000,6,0,6,150,0,0,0,0,0,0,-15.9025481,-48.0607778
200000,6,2,3,100,0,0,0,0,0,0,-15.9025481,-48.0607778
1200000,1,0,1,560,0,0,0,0,0,0,-15.9025481,-48.0607778
